A
B,,ASAM8,ASAM8,ASAM8,ASAM8,ASAM8,ASAM8,ASAM8,ASAM8-D02in,ASAM8-D02in,ASAM8-D04in,ASAM8-D04in,ASAM8-D08in,ASAM8-D08in,ASAM8-D20in,ASAM8-D20in,ASAM8-D40in,ASAM8-D40in
C,UTC,%-RelativeHumidity,Depth-Snow,Dir-Wind,Irrad,Precip,Speed-Wind,Temp-Air,%-SoilMoisture,Temp-Soil,%-SoilMoisture,Temp-Soil,%-SoilMoisture,Temp-Soil,%-SoilMoisture,Temp-Soil,%-SoilMoisture,Temp-Soil
E
F,,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS
Units,,%,mm,deg,W/m2,mm,kph,C,%,C,%,C,%,C,%,C,%,C
Type,,PER-AVER,INST-VAL,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-AVER,INST-VAL,INST-VAL,INST-VAL,INST-VAL,INST-VAL,INST-VAL,INST-VAL,INST-VAL,INST-VAL,INST-VAL
56,19Apr2024 1435,55.52,,323.2,180.9,0,9.925,-3.678,,,,,,,,,,,
57,19Apr2024 1440,55.92,,332.9,196.7,0,11.002,-3.639,,,,,,,,,,,
58,19Apr2024 1445,55.86,,325,223.3,0,10.573,-3.622,,,,,,,,,,,
59,19Apr2024 1450,55.76,,302.3,355.3,0,8.611,-3.622,,,,,,,,,,,
60,19Apr2024 1455,54.7,,314.9,259.7,0,8.669,-3.461,,,,,,,,,,,
61,19Apr2024 1500,53.4,4.064,350.4,273.7,0,5.443,-3.539,21.1,2.861,27.9,4.361,32,5.939,32.1,6.461,33,5.939,
62,19Apr2024 1505,53.76,,0.67,269.8,0,5.094,-3.339,,,,,,,,,,,
63,19Apr2024 1510,52.84,,282.8,350.4,0,3.056,-3.139,,,,,,,,,,,
64,19Apr2024 1515,52.3,,180,270.2,0,5.206,-3.139,,,,,,,,,,,
65,19Apr2024 1520,52.24,,189.1,271.3,0,2.704,-3.239,,,,,,,,,,,
66,19Apr2024 1525,52.34,,345.3,276,0,1.814,-3.061,,,,,,,,,,,
67,19Apr2024 1530,51.44,,12.8,269.5,0,6.426,-2.939,,,,,,,,,,,
68,19Apr2024 1535,49.98,,29.5,269.1,0,3.539,-2.939,,,,,,,,,,,
69,19Apr2024 1540,50.82,,358.5,261.4,0,2.149,-2.839,,,,,,,,,,,
70,19Apr2024 1545,48.36,,6.15,246.8,0,1.001,-2.661,,,,,,,,,,,
71,19Apr2024 1550,48.4,,64.77,248.4,0,8.41,-2.522,,,,,,,,,,,
72,19Apr2024 1555,48.42,,108.3,250.6,0,7.222,-2.378,,,,,,,,,,,
73,19Apr2024 1600,48.96,1.778,112.1,317.4,0,8.334,-2.422,21.3,2.761,27.9,4.2,32.1,5.861,32.1,6.4,33,5.9,

A
B,,BLWM8,BLWM8,BLWM8,BLWM8,BLWM8,BLWM8,BLWM8,BLWM8-D02in,BLWM8-D02in,BLWM8-D04in,BLWM8-D04in,BLWM8-D08in,BLWM8-D08in,BLWM8-D20in,BLWM8-D20in,BLWM8-D40in,BLWM8-D40in
C,UTC,%-RelativeHumidity,Depth-Snow,Dir-Wind,Irrad,Precip,Speed-Wind,Temp-Air,%-SoilMoisture,Temp-Soil,%-SoilMoisture,Temp-Soil,%-SoilMoisture,Temp-Soil,%-SoilMoisture,Temp-Soil,%-SoilMoisture,Temp-Soil
E
F,,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS
Units,,%,mm,deg,W/m2,mm,kph,C,%,C,%,C,%,C,%,C,%,C
Type,,PER-AVER,INST-VAL,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-AVER,INST-VAL,INST-VAL,INST-VAL,INST-VAL,INST-VAL,INST-VAL,INST-VAL,INST-VAL,INST-VAL,INST-VAL
1,19Apr2024 1000,70.33,0,336.8,0,0,8.816,-9.039,32.1,8.2,33.4,4.8,36.9,5.6,40.4,6.1,35,5,
2,19Apr2024 1005,71.39,,335.4,0,0,8.334,-8.878,,,,,,,,,,,
3,19Apr2024 1010,71.41,,339.6,0,0,7.427,-8.8,,,,,,,,,,,
4,19Apr2024 1015,71.62,,337,0,0,7.78,-8.85,,,,,,,,,,,
5,19Apr2024 1020,71.91,,331,0,0,7.333,-8.9,,,,,,,,,,,
6,19Apr2024 1025,71.86,,324.4,0,0,6.167,-8.878,,,,,,,,,,,
7,19Apr2024 1030,72.31,,322.2,0,0,5.648,-8.95,,,,,,,,,,,
8,19Apr2024 1035,73.46,,317,0,0,5.63,-9.1,,,,,,,,,,,
9,19Apr2024 1040,73.92,,330.2,0,0,6.667,-9.178,,,,,,,,,,,
10,19Apr2024 1045,74.67,,337.3,0,0,7.074,-9.361,,,,,,,,,,,
11,19Apr2024 1050,75.9,,333,0,0,6.685,-9.361,,,,,,,,,,,
12,19Apr2024 1055,75.88,,325.5,0,0,6.372,-9.45,,,,,,,,,,,
13,19Apr2024 1100,77.27,0,318,0,0,6.408,-9.422,32,8,33.4,4.6,37,5.6,40.3,6.1,35,4.9,
14,19Apr2024 1105,77.3,,316.3,0,0,6.055,-9.172,,,,,,,,,,,
15,19Apr2024 1110,77.08,,318,0,0,6.167,-9.139,,,,,,,,,,,
16,19Apr2024 1115,77.29,,320.4,0,0,6.019,-9.311,,,,,,,,,,,
17,19Apr2024 1120,78.81,,317,0,0,4.612,-9.461,,,,,,,,,,,
18,19Apr2024 1125,79.49,,311.5,0,0,4.057,-9.672,,,,,,,,,,,
19,19Apr2024 1130,80.3,,308,0,0,4.482,-10.011,,,,,,,,,,,
20,19Apr2024 1135,81.9,,316.4,0,0,4.298,-10.2,,,,,,,,,,,
21,19Apr2024 1140,82.9,,330.3,0,0,4.334,-10.2,,,,,,,,,,,
22,19Apr2024 1145,83.6,,346,0,0,3.722,-10.172,,,,,,,,,,,
23,19Apr2024 1150,83.8,,337.6,0,0,2.11,-10.061,,,,,,,,,,,
24,19Apr2024 1155,82.8,,288.5,0,0,0.648,-9.939,,,,,,,,,,,
25,19Apr2024 1200,82.2,0,253.6,0,0,2.556,-10.189,32,7.8,33.4,4.5,37,5.5,40.5,6.1,35,5,
26,19Apr2024 1205,82.5,,259.7,0,0,3.928,-9.922,,,,,,,,,,,
27,19Apr2024 1210,81.2,,258.5,0,0,4.536,-9.661,,,,,,,,,,,
28,19Apr2024 1215,80.6,,270.5,0,0,5.184,-9.839,,,,,,,,,,,
29,19Apr2024 1220,81.2,,277.5,0,0,6.592,-9.989,,,,,,,,,,,
30,19Apr2024 1225,81.9,,277.4,0,0,8.24,-10.111,,,,,,,,,,,
31,19Apr2024 1230,83.2,,286.2,0.18,0,9.947,-9.822,,,,,,,,,,,
32,19Apr2024 1235,82.3,,300.1,2.71,0,10.984,-9.289,,,,,,,,,,,
33,19Apr2024 1240,81,,297.9,6.31,0,9.965,-9.122,,,,,,,,,,,
34,19Apr2024 1245,81.1,,288.7,12.88,0,8.669,-9.372,,,,,,,,,,,
35,19Apr2024 1250,82.2,,286.5,23.82,0,8.687,-9.722,,,,,,,,,,,
36,19Apr2024 1255,83.8,,280,21.32,0,8.186,-9.8,,,,,,,,,,,
37,19Apr2024 1300,84.6,2.032,273.2,32.17,0,5.872,-9.8,32,7.6,33.4,4.3,37,5.5,40.4,6,36,5,
38,19Apr2024 1305,84.7,,257.1,59.7,0,4.406,-9.761,,,,,,,,,,,
39,19Apr2024 1310,85.9,,260.2,84.8,0,4.352,-9.4,,,,,,,,,,,
40,19Apr2024 1315,86.3,,277,94.3,0,2.52,-8.978,,,,,,,,,,,
41,19Apr2024 1320,86.2,,293.1,104.9,0,1.39,-8.539,,,,,,,,,,,
42,19Apr2024 1325,85.1,,287.5,121.3,0,1.742,-8.111,,,,,,,,,,,
43,19Apr2024 1330,84,,283.7,127.2,0,2.891,-7.672,,,,,,,,,,,
44,19Apr2024 1335,81.9,,259,135.8,0,3.186,-7.239,,,,,,,,,,,
45,19Apr2024 1340,81.3,,229.3,133.5,0,1.962,-7.067,,,,,,,,,,,
46,19Apr2024 1345,80.5,,171.9,124.6,0,0.223,-6.933,,,,,,,,,,,
47,19Apr2024 1350,79.89,,208.9,123.9,0,0.648,-6.833,,,,,,,,,,,
48,19Apr2024 1355,79.98,,264.4,139.4,0,0.407,-6.606,,,,,,,,,,,
49,19Apr2024 1400,79.57,5.588,308.3,184.4,0,2.261,-6.289,31.9,7.5,33.4,4.2,37,5.4,40.4,6.1,35,5,
50,19Apr2024 1405,78,,322.7,199.3,0,3.816,-5.944,,,,,,,,,,,
51,19Apr2024 1410,77.76,,313.1,219.1,0,4.558,-5.572,,,,,,,,,,,
52,19Apr2024 1415,78.08,,321,261.8,0,6.484,-5.1,,,,,,,,,,,
53,19Apr2024 1420,76.66,,324.2,289.7,0,7.78,-4.461,,,,,,,,,,,
54,19Apr2024 1425,73.65,,321.3,285.7,0,8.464,-4.15,,,,,,,,,,,
55,19Apr2024 1430,72.96,,330.3,330.3,0,8.41,-4.178,,,,,,,,,,,
56,19Apr2024 1435,74.35,,347.9,347.3,0,9.148,-3.75,,,,,,,,,,,
57,19Apr2024 1440,72.99,,350.2,354.2,0,12.65,-3.322,,,,,,,,,,,
58,19Apr2024 1445,72.11,,342,367.1,0,11.354,-3.189,,,,,,,,,,,
59,19Apr2024 1450,70.35,,358.3,368.1,0,13.169,-3.133,,,,,,,,,,,
60,19Apr2024 1455,69.82,,344.8,362.7,0,13.464,-2.844,,,,,,,,,,,
61,19Apr2024 1500,68.23,7.366,344.7,389.3,0,11.686,-2.406,31.8,7.3,33.4,4,37.1,5.3,40.6,6.1,35,5,
62,19Apr2024 1505,65.86,,349,418,0,14.242,-2.606,,,,,,,,,,,
63,19Apr2024 1510,65.92,,352.2,443.1,0,13.817,-2.628,,,,,,,,,,,
64,19Apr2024 1515,65.2,,331,466.6,0,14.89,-2.578,,,,,,,,,,,
65,19Apr2024 1520,64.26,,350.3,494.2,0,14.094,-2.222,,,,,,,,,,,
66,19Apr2024 1525,63.29,,350.6,379.4,0,11.592,-2.367,,,,,,,,,,,
67,19Apr2024 1530,62.79,,333.9,469.2,0,11.261,-2.333,,,,,,,,,,,
68,19Apr2024 1535,61.78,,349,387.8,0,9.223,-2.094,,,,,,,,,,,
69,19Apr2024 1540,61.34,,351.8,379.7,0,12.204,-1.983,,,,,,,,,,,
70,19Apr2024 1545,59.41,,340.9,606.7,0,11.815,-1.722,,,,,,,,,,,
71,19Apr2024 1550,57.1,,332.5,294.9,0,10.483,-1.722,,,,,,,,,,,
72,19Apr2024 1555,57.88,,345.3,390.5,0,12.74,-2.256,,,,,,,,,,,
73,19Apr2024 1600,57.22,4.572,338,481,0,10.519,-1.706,31.8,7.2,33.3,3.9,37.2,5.2,40.5,6,36,5,

A
B,,BNWM8,BNWM8,BNWM8,BNWM8,BNWM8,BNWM8,BNWM8,BNWM8-D02in,BNWM8-D02in,BNWM8-D04in,BNWM8-D04in,BNWM8-D08in,BNWM8-D08in,BNWM8-D20in,BNWM8-D20in,BNWM8-D40in,BNWM8-D40in
C,UTC,%-RelativeHumidity,Depth-Snow,Dir-Wind,Irrad,Precip,Speed-Wind,Temp-Air,%-SoilMoisture,Temp-Soil,%-SoilMoisture,Temp-Soil,%-SoilMoisture,Temp-Soil,%-SoilMoisture,Temp-Soil,%-SoilMoisture,Temp-Soil
E
F,,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS
Units,,%,mm,deg,W/m2,mm,kph,C,%,C,%,C,%,C,%,C,%,C
Type,,PER-AVER,INST-VAL,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-AVER,INST-VAL,INST-VAL,INST-VAL,INST-VAL,INST-VAL,INST-VAL,INST-VAL,INST-VAL,INST-VAL,INST-VAL
1,19Apr2024 1000,67.82,14.224,8.13,0,0,10.631,-6.622,30.9,3.2,27.8,4.7,43,6,44.4,6.4,28,5.8,
2,19Apr2024 1005,65.7,,1.54,0,0,12.02,-6.511,,,,,,,,,,,
3,19Apr2024 1010,63.35,,3.77,0,0,11.833,-6.244,,,,,,,,,,,
4,19Apr2024 1015,64.24,,10.35,0,0,11.315,-6.456,,,,,,,,,,,
5,19Apr2024 1020,65.44,,12.22,0,0,11.462,-6.85,,,,,,,,,,,
6,19Apr2024 1025,66.94,,12.96,0,0,11.279,-7.172,,,,,,,,,,,
